strain	     stress       trans
-0.000013053 -1.089682295 0.046666424
0.000506383	-1.068596377 0.046670575
0.001025818	-1.047491917 0.04667475
0.001545254	-1.026332566 0.046678943
0.002064689	-1.005064905 0.046683149
0.002584125	-0.983619179 0.046687361
0.003103560 -0.961910042 0.046691571
0.003622996	-0.939837310 0.04669577
0.004142432	-0.917286721 0.046699951
0.004661867	-0.894130712 0.046704107
0.005181303	-0.870229216 0.046708235
0.005700738	-0.845430477 0.04671233
0.006220174	-0.819571900 0.046716396
0.006739610 -0.792480915 0.046720441
0.007259045	-0.763975886 0.046724491
0.007778481	-0.733867044 0.046728602
0.008297916	-0.701957463 0.046732874
0.008817352	-0.668044062 0.046736413
0.009336787	-0.631918648 0.046739804
0.009856223	-0.593368986 0.046743001
0.010375659	-0.552179900 0.046745935
0.010895094	-0.508134397 0.046748534
0.011414530	-0.461014806 0.046750717
0.011933965	-0.410603933 0.046752392
0.012453401	-0.356686202 0.046753453
0.012972836	-0.299048800 0.046753774
0.013492272	-0.237482781 0.04675306
0.014011708	-0.171784142 0.046749411
0.014531143	-0.101754839 0.046735902
0.015050579	-0.027203726 0.04670557
0.015570014	0.052052593	0.046666232
0.01608945	0.136189021	0.046630317
0.016608886	0.225371367	0.046600046
0.017128321	0.319755877	0.046573024
0.017647757	0.419488957	0.046547281
0.018167192	0.524707066	0.046521836
0.018686628	0.635536829	0.046496297
0.019206063	0.752095368	0.046470568
0.019725499	0.874490872	0.046444727
0.020244935	1.002823413	0.046419031
0.02076437	1.137186024	0.046393982
0.021283806	1.27766603	0.046370279
0.021803241	1.42434665	0.046347508
0.022322677	1.577308839	0.046318942
0.022842113	1.73663339	0.046276304
0.023361548	1.902403257	0.04622489
0.023880984	2.074706083	0.046169444
0.024400419	2.253636914	0.046112079
0.024919855	2.43930105	0.046053917
0.02543929	2.631817006	0.045995358
0.025958726	2.831319531	0.045936504
0.026478162	3.03796263	0.045877374
0.026997597	3.25192254	0.045817989
0.027517033	3.473400592	0.045758411
0.028036468	3.702625899	0.045698774
0.028555904	3.939857794	0.045639312
0.029075339	4.185387957	0.045580371
0.029594775	4.439542148	0.045522265
0.030114211	4.702681479	0.045464834
0.030633646	4.975203147	0.045406836
0.031153082	4.671517215	0.045345931
0.031672517	5.076125727	0.045280668
0.032191953	5.480734239	0.045211858
0.032711389	5.885342751	0.045141099
0.033230824	6.289951263	0.045069411
0.03375026	6.694559776	0.044997212
0.034269695	7.099168288	0.044924638
0.034789131	7.5037768	0.044851735
0.035308566	7.908385312	0.044778528
0.035828002	8.312993824	0.044705033
0.036347438	8.717602336	0.044631267
0.036866873	9.122210848	0.044557234
0.037386309	9.52681936	0.044482936
0.037905744	9.931427872	0.044408365
0.03842518	10.33603638	0.044333519
0.038944615	10.7406449	0.044258405
0.039464051	11.14525341	0.044183043
0.039983487	11.54986192	0.044107461
0.040502922	11.95447043	0.044031691
0.041022358	12.35907895	0.043955764
0.041541793	12.76368746	0.043879711
0.042061229	13.16829597	0.043803562
0.042580665	13.57290448	0.043727341
0.0431001	13.97751299	0.043651075
0.043619536	14.38212151	0.043574785
