strain	stress	trans
0.0015717	1.3618	0.4066
0.0020956	1.3618	0.4066
0.0026195	1.3618	0.4066
0.0031434	1.3618	0.4066
0.0036673	1.1673	0.4066
0.0041912	0.9727	0.4066
0.0047151	0.9727	0.4066
0.005239	0.9727	0.4067
0.0057629	0.9727	0.4067
0.0062868	0.9727	0.4057
0.0068107	0.9727	0.4057
0.0073346	0.9727	0.4057
0.0078585	0.9727	0.4057
0.0083824	0.9727	0.4057
0.0089064	0.9727	0.4057
0.0094303	0.9727	0.4057
0.0099542	0.9727	0.4048
0.0105	0.9727	0.4048
0.011	1.1673	0.4048
0.0115	1.1673	0.4039
0.012	1.1673	0.4039
0.0126	1.3618	0.4039
0.0131	1.3618	0.4029
0.0136	1.3618	0.4029
0.0141	1.5564	0.4029
0.0147	1.5564	0.402
0.0152	1.5564	0.402
0.0157	1.751	0.4011
0.0162	1.751	0.4001
0.0168	1.9455	0.4001
0.0173	1.9455	0.3992
0.0178	2.1401	0.3992
0.0183	2.3346	0.3982
0.0189	2.5292	0.3982
0.0194	2.7237	0.3973
0.0199	2.9183	0.3963
0.0204	3.1128	0.3963
0.021	3.3074	0.3963
0.0215	3.5019	0.3955
0.022	4.0856	0.3945
0.0225	4.4747	0.3936
0.0231	4.8638	0.3926
0.0236	5.2529	0.3917
0.0241	5.642	0.3908
0.0246	6.2257	0.3898
0.0251	6.6148	0.3889
0.0257	7.0039	0.3889
0.0262	7.393	0.3889
0.0267	7.7821	0.3879
0.0272	8.1712	0.387
0.0278	8.5603	0.386
0.0283	8.9494	0.3851
0.0288	9.5331	0.3851
0.0293	9.9222	0.3833
0.0299	10.3113	0.3833
0.0304	10.7004	0.3833
0.0309	11.0895	0.3822
0.0314	11.4786	0.3814
0.032	11.8677	0.3804
0.0325	12.2568	0.3795
0.033	12.6459	0.3786
0.0335	13.035	0.3767
0.0341	13.4241	0.3758
0.0346	13.8132	0.3758
0.0351	14.3969	0.3758
0.0356	14.786	0.3748
0.0361	15.1751	0.3739
0.0367	15.5642	0.3729
0.0372	15.9533	0.3719
0.0377	16.3424	0.3711
0.0382	16.7315	0.37
0.0388	17.1206	0.37
0.0393	17.5097	0.37
0.0398	17.8988	0.3692
0.0403	18.4825	0.3683
0.0409	18.8716	0.3673
0.0414	19.2607	0.3664
0.0419	19.6498	0.3664
0.0424	20.0389	0.3645
0.043	20.428	0.3636
0.0435	20.8171	0.3626
0.044	21.2062	0.3626
0.0445	21.5953	0.3626
0.0451	21.9844	0.3617
0.0456	22.5681	0.3608
0.0461	22.9572	0.3598
0.0466	23.3463	0.3578
0.0472	23.7354	0.357
0.0477	24.1245	0.3561
0.0482	24.5135	0.3561
0.0487	24.9026	0.3561
0.0492	25.2918	0.3551
0.0498	25.6808	0.3542
0.0503	26.2646	0.3533
0.0508	26.6537	0.3523
0.0513	27.0428	0.3504
0.0519	27.4319	0.3495
0.0524	27.821	0.3495
0.0529	28.2101	0.3495
0.0534	28.5992	0.3486
0.054	28.9883	0.3476
0.0545	29.3774	0.3467
0.055	29.7665	0.3458
0.0555	30.1556	0.3448
0.0561	30.7393	0.3439
0.0566	31.1284	0.3429
0.0571	31.5175	0.3429
0.0576	31.9066	0.3429
0.0582	32.2957	0.342
0.0587	32.6848	0.3411
0.0592	33.0739	0.3401
0.0597	33.463	0.3382
0.0602	33.8521	0.3373
0.0608	34.4358	0.3364
0.0613	34.8249	0.3364
0.0618	35.214	0.3364
0.0623	35.6031	0.3354
0.0629	35.9922	0.3345
0.0634	36.3813	0.3336
0.0639	36.7704	0.3317
0.0644	37.1595	0.3307
0.065	37.5486	0.3298
0.0655	37.7431	0.3298
0.066	37.7431	0.3298
0.0665	37.7431	0.3289
0.0671	37.7431	0.3279
0.0676	37.7431	0.327
0.0681	37.7431	0.3261
0.0686	37.7431	0.3251
0.0692	37.7431	0.3242
0.0697	37.7431	0.3242
0.0702	37.7431	0.3242
0.0707	37.7431	0.3232
0.0713	38.1323	0.3223
0.0718	38.5213	0.3214
0.0723	38.9104	0.3204
0.0728	39.4942	0.3195
0.0733	39.8833	0.3176
0.0739	40.2724	0.3176
0.0744	40.6615	0.3176
0.0749	41.0506	0.3167
0.0754	41.4397	0.3157
0.076	41.8288	0.3148
0.0765	42.2179	0.3139
0.077	42.607	0.312
0.0775	42.9961	0.3111
0.0781	43.3852	0.3111
0.0786	43.9689	0.3111
0.0791	44.358	0.3101
0.0796	44.7471	0.3092
0.0802	45.1362	0.3082
0.0807	45.5253	0.3073
0.0812	45.9144	0.3073
0.0817	46.3035	0.3054
0.0823	46.6926	0.3045
0.0828	47.0817	0.3035
0.0833	47.6654	0.3035
0.0838	48.0545	0.3035
0.0843	48.4436	0.3026
0.0849	48.8327	0.3017
0.0854	49.2218	0.3007
0.0859	49.6109	0.2989
0.0864	50	0.2979
0.087	50.3891	0.297
0.0875	50.7782	0.297
0.088	51.1673	0.297
0.0885	51.751	0.2961
0.0891	52.1401	0.2951
0.0896	52.5292	0.2942
0.0901	52.9183	0.2932
0.0906	53.3074	0.2913
0.0912	53.6965	0.2904
0.0917	54.0856	0.2904
0.0922	54.4747	0.2904
0.0927	54.8638	0.2894
0.0933	55.2529	0.2886
0.0937	55.642	0.2876
0.0943	56.2257	0.2867
0.0948	56.6148	0.2848
0.0954	57.0039	0.2839
0.0959	57.393	0.2839
0.0964	57.7821	0.2839
0.0969	58.1712	0.2829
0.0974	58.5603	0.282
0.098	58.9494	0.281
0.0985	59.5331	0.2801
0.099	59.9222	0.2801
0.0995	60.3113	0.2792
0.1001	60.7004	0.2782
0.1006	61.0895	0.2772
0.1011	61.4786	0.2772
0.1016	61.8677	0.2772
0.1022	62.2568	0.2764
0.1027	62.6459	0.2753
0.1032	63.035	0.2745
0.1037	63.4241	0.2735
0.1043	63.8132	0.2717
0.1048	64.3969	0.2717
0.1053	64.786	0.2717
0.1058	65.1751	0.2707
0.1064	65.5642	0.2698
0.1069	65.9533	0.2689
0.1074	66.3424	0.2679
0.1078	66.7315	0.266
0.1084	67.1206	0.2651
0.109	67.5097	0.2642
0.1095	67.8988	0.2631
0.11	68.2879	0.2623
0.1105	68.8716	0.2623
