Density, E_angle, E_bond, E_dihed, E_impro, E_vdwl, KinEng, Lx, Ly, Lz, PotEng, Press, Step, Temp, TotEng, Volume, f_avd, f_sxx_ave, f_syy_ave, f_szz_ave, v_Time, v_sxx, v_syy, v_szz
1.1099116, 51524.969, 42337.167, -1602.7637, 515.71956, 1308.5134, 18831.864, 60.480015, 59.699256, 59.893163, 93299.526, -7456.0538, 0, 300, 112131.39, 216250.97, 0, 0, 0, 0, 0, 253.16691, 718.82688, 1294.4602
1.1099116, 47954.195, 10711.067, -1814.6657, 550.14739, -447.64526, 29100.817, 60.480015, 59.699256, 59.893163, 56175.305, 4385.5578, 2000, 463.58901, 85276.122, 216250.97, 1.1099116, -440.67979, -414.24121, -445.6601, 1, -302.19695, -496.77767, -534.12531
1.1099116, 47947.861, 10994.52, -1754.9338, 550.30744, -928.163, 29399.183, 60.480015, 59.699256, 59.893163, 55934.118, 2916.9225, 4000, 468.34212, 85333.301, 216250.97, 1.1099116, -387.41997, -381.88746, -395.11274, 2, -249.02869, -280.12789, -357.51493
1.1099116, 47939.363, 11405.222, -1997.141, 536.05472, -1156.5323, 29486.522, 60.480015, 59.699256, 59.893163, 55843.793, 3250.8651, 6000, 469.73346, 85330.315, 216250.97, 1.1099116, -317.16744, -334.29397, -306.13628, 3, -266.71664, -311.34244, -410.12263
1.1099116, 48067.181, 11789.183, -2179.9973, 550.76497, -1217.515, 29199.118, 60.480015, 59.699256, 59.893163, 56131.403, 2887.1639, 8000, 465.15499, 85330.521, 216250.97, 1.1099116, -285.8313, -294.56096, -276.56117, 4, -287.11152, -426.57458, -163.93955
1.1099116, 47861.188, 12034.376, -2256.8314, 524.51905, -1296.2494, 29391.574, 60.480015, 59.699256, 59.893163, 55938.435, 3639.3264, 10000, 468.22091, 85330.009, 216250.97, 1.1099116, -230.43461, -238.98781, -235.55623, 5, -346.70465, -403.66911, -355.89046
1.1099116, 48160.085, 12268.073, -2439.0467, 525.52956, -1616.6935, 29348.19, 60.480015, 59.699256, 59.893163, 55981.323, 3154.415, 12000, 467.52978, 85329.513, 216250.97, 1.1099116, -216.19239, -192.74504, -199.60882, 6, -277.24057, -284.95708, -396.66564
1.1099116, 48290.827, 12127.994, -2392.0102, 535.12189, -1772.5464, 29475.959, 60.480015, 59.699256, 59.893163, 55851.221, 1991.247, 14000, 469.5652, 85327.18, 216250.97, 1.1099116, -194.04048, -194.99447, -199.18768, 7, -197.48425, -269.95111, -137.85394
1.1099116, 48097.505, 12567.012, -2719.8819, 527.99037, -1682.4201, 29565, 60.480015, 59.699256, 59.893163, 55797.532, 2855.9747, 16000, 470.98366, 85362.532, 216250.97, 1.1099116, -163.71364, -157.89959, -164.144, 8, -325.7063, -301.2971, -241.14152
1.1099116, 48025.001, 12514.463, -2484.9751, 546.59856, -1830.7911, 29559.494, 60.480015, 59.699256, 59.893163, 55802.964, 1856.8616, 18000, 470.89594, 85362.457, 216250.97, 1.1099116, -145.97937, -143.3597, -151.57838, 9, -184.06269, -272.62714, -107.74968
1.1099116, 48162.229, 12632.459, -2566.7451, 507.47719, -1828.0649, 29461.648, 60.480015, 59.699256, 59.893163, 55900.728, 1604.302, 20000, 469.33722, 85362.377, 216250.97, 1.1099116, -147.23511, -143.64553, -149.78044, 10, -254.75411, -111.16951, -121.74408
1.1099116, 48162.229, 12632.459, -2566.7451, 507.47719, -1828.0649, 29461.648, 60.480015, 59.699256, 59.893163, 55900.728, 1604.302, 20000, 469.33722, 85362.377, 216250.97, 1.1099116, -147.23511, -143.64553, -149.78044, 10, -254.75411, -111.16951, -121.74408
1.1098151, 44134.371, 8819.5396, -4254.559, 275.8601, -2723.0369, 18735.873, 60.694959, 59.422162, 59.964572, 45139.714, -43.175963, 22000, 298.47083, 63875.587, 216269.77, 1.0959232, -2.1126348, 10.870843, 1.4345013, 11, 0.5521731, -17.259501, 29.831741
1.1174768, 43934.13, 8896.2078, -4158.1109, 284.63183, -2807.7912, 18737.037, 60.524037, 59.148864, 59.997567, 45015.321, -65.794657, 24000, 298.48937, 63752.358, 214786.97, 1.1152746, -0.61542921, 4.8852445, -4.6131713, 12, 6.4532204, 63.107867, -49.561156
1.1236598, 44231.454, 8959.2946, -4327.0878, 283.06108, -2823.5441, 18910.071, 60.57181, 58.86166, 59.911275, 45171.133, 180.58416, 26000, 301.24588, 64081.204, 213605.1, 1.1190171, -2.2335825, -3.2836306, 6.8674417, 13, -78.917331, -54.651021, 78.675282
1.125401, 44271.604, 8784.8263, -4426.6498, 290.46294, -2934.3108, 18728.671, 60.97987, 58.883079, 59.39668, 44860.386, -579.72241, 28000, 298.35609, 63589.057, 213274.62, 1.1236863, -2.6475445, -2.1738182, 1.7406337, 14, 54.380397, 22.49967, 99.341052
1.1275006, 43987.351, 8905.9075, -4187.6467, 273.0334, -2962.6629, 18843.577, 61.224013, 58.817088, 59.115906, 44908.834, -845.31155, 30000, 300.1866, 63752.411, 212877.45, 1.1260984, -3.0531135, 0.31780392, -3.2934277, 15, 114.73795, 75.503672, 66.711961
1.1290431, 44078.198, 8847.9911, -4160.7579, 272.74303, -2889.5757, 18730.966, 60.745028, 58.768761, 59.549572, 44987.99, 63.924716, 32000, 298.39265, 63718.956, 212586.61, 1.1279678, 5.4508285, -6.1431703, -0.55746163, 16, 85.853263, -11.663274, -93.621504
1.1356273, 44158.077, 8831.2395, -4323.2661, 280.58474, -3049.0404, 18817.098, 60.139248, 58.956469, 59.610279, 44708.398, -102.40445, 34000, 299.76477, 63525.496, 211354.07, 1.1310726, 0.57709891, 4.5024354, -0.53290849, 17, -61.078308, 59.832032, 32.374668
1.1370271, 44157.152, 8942.3674, -4297.517, 289.44559, -3069.3433, 18865.525, 60.586449, 58.650324, 59.40592, 44862.829, -783.38718, 36000, 300.53624, 63728.354, 211093.88, 1.1366494, -3.7519196, -0.6838137, 6.6974249, 18, 96.422034, 102.96606, 38.74202
1.1368906, 44119.565, 8848.523, -4211.7683, 281.86157, -3118.4774, 18761.31, 60.452747, 58.712893, 59.481001, 44742.754, -770.00012, 38000, 298.87605, 63504.065, 211119.22, 1.1377605, 5.3858493, -2.6852516, -3.5854516, 19, -38.81801, 165.28326, 107.59554
1.1397328, 44148.476, 9057.472, -4405.0801, 300.66359, -3189.9833, 18722.818, 60.481836, 58.705382, 59.311722, 44730.691, 435.65671, 40000, 298.26285, 63453.509, 210592.75, 1.1376305, -5.8582477, 8.7725083, 4.5372459, 20, 27.551394, -125.09972, -34.880425
1.1362696, 44017.411, 9070.3024, -4339.6051, 280.42878, -3150.9982, 18976.634, 60.60289, 58.83015, 59.24774, 44685.55, -709.9429, 42000, 302.30625, 63662.184, 211234.61, 1.1402891, 10.138141, -2.5334438, -5.1749421, 21, 113.45402, 151.20203, -48.851153
1.14098, 44139.45, 8994.9066, -4575.409, 270.33007, -3146.2033, 18825.899, 60.566454, 58.63294, 59.237212, 44477.525, 259.74171, 44000, 299.90498, 63303.424, 210362.55, 1.1408308, -7.6604271, -2.572284, 4.6528156, 22, -24.601539, -44.415963, -9.9374845
1.1351541, 44147, 8934.5998, -4322.0376, 314.77928, -3043.268, 18927.452, 61.133877, 58.706883, 58.914291, 44825.967, -146.09796, 46000, 301.52276, 63753.419, 211442.18, 1.139649, 5.152179, 2.1940363, -11.898332, 23, 30.468297, 107.30196, -93.360127
1.1404763, 44049.507, 8996.1788, -4355.7772, 281.92421, -3138.0956, 18741.77, 60.745556, 58.402795, 59.321489, 44610.845, -848.37684, 48000, 298.56477, 63352.615, 210455.45, 1.1379686, 4.7498395, -2.7914747, 4.3319697, 24, 171.58733, 22.995084, 63.302936
1.1453457, 44131.694, 8990.7535, -4418.295, 276.72505, -3209.9169, 19005.879, 60.844887, 58.592041, 58.782379, 44556.184, 321.79595, 50000, 302.77214, 63562.063, 209560.72, 1.1415486, -3.5738762, -0.026475347, 8.2527835, 25, -120.1495, 63.063615, -40.732043
1.1442631, 44029.86, 9133.16, -4463.8491, 280.63902, -3167.464, 18901.951, 60.992648, 58.470338, 58.817621, 44624.043, -59.319603, 52000, 301.11652, 63525.994, 209758.98, 1.144653, 1.234268, 2.964565, -1.3364195, 26, 112.30876, -33.181382, -61.095706
1.1473825, 44060.152, 8905.275, -4260.0404, 261.45131, -3190.5068, 18711.066, 60.727797, 58.507139, 58.876483, 44542.495, -320.85729, 54000, 298.07564, 63253.562, 209188.72, 1.1468376, 1.3041272, -3.0447504, 0.7841469, 27, -7.2063498, 10.03579, 94.703153
