! This file contains the parameters for the morse bond update. The file comment's character is the "!" character
! for which everything following "!" character will be ignored. The "#parameters" tag/header will be used to find
! roughly where the parameters are in this file.
!
! To update a harmonic bond to a morse bond two pieces of information are required: 1. The dissociation energy (D)
! and 2. The morse potential well width paramater (alpha). The dissociation energy energy is set via the bond type
! (IE C-C single bond, C-C double bond, etc ..). To set the dissociation energy a topological anaylsis is performed
! on the LAMMPS .data file where the topology is back mapped onto the Bond CoeffID. This allows for a topological
! understanding of each Bond CoeffID to be able to set the bond type. Three topolical parameters are used for each
! atom i,j pair in the bond to help determine the bond type: 1. element symbol, 2. ring size, 3. number of bonded 
! neighbors (nb) and are specifiyed as:
!    element,ring,nb (with no withspaces only commas string the characters together)
!
! The alpha parameter can be specified in this file as a float value (IE 1.9, 2.0 ...) or the "min" keyword which
! will tell the code to minimize the alpha parameter around the harmonic well of the harmonic bond coeff.
!
! The element symbol MUST be specified with the 1st character capitolized and remaining lower case (if applicable)
! however you may use the "*" wildcard operator in either the ring or nb location or both in the string of 
! characters. The code currenly only checks for ringsizes 0, 3, 4, 5, 6, which means the ring location may only have
! these characters, ZERO means atom is not in a ring. The nb location can be set to any integer value. The code will
! check for forward and backward permutations so only 1 is required. A special keyword GRAPHENE is used to set graphene
! and CNT bond types. Additional special keywords can be added if needed.
!
! The intial file has been built by Josh Kemppainen, but may be added onto as needed. The current dissociation energies
! may also be adjusted to the users preference. NOTES to the user for adjusting or adding to this file:
!    - The Itype and Jtype columns must have zero whitespaces, strung together with commas (element,ring,nb), where
!      the "*" is a wild card operator that can be placed in either the ring or nb location of the string or both.
!    - The dissociation energy (D) column requires Kj/mol energy units.
!    - The bond order (BO) column is only used as an output to show which bond order the bond was, but should be
!      consistent with the Itype and Jtype info used to characterize the bond.
!    - The use column takes a "T" or "F" character, where T=True and F=False, which tells the code to use (T) this bond
!      info for setting the dissociation energy or do not use this info (F).
!    - When setting each Itype and Jtype for each bonding element pairs, ring sizes, and number of bonded atoms, it is
!      likely that many different scenerios need to be defined to a single bond type (IE you may need to specify a C-C
!      single bond in multiple different ways). The "*" wild card character can help reduce this need, but use it wisely.
!    - Setting each Itype and Jtype also requires careful chemical consideration of what type of bond is present between
!      those pair of atoms. Josh will try to have most use cases already set, but is limited due to the expeirmental 
!      dissociation energies available. If you want to add more and need help reach out to Josh.  
!
! Version 1.1 7/11/2024

#parameters

! Itype    Jtype    D (kJ/mol)  BO (1,2,3,1.5)  use (T or F)  alpha (min or float)   ref    ! comments
!------    -----    ----------  --------------  ------------  --------------------   ---    ! ------------------------------------------------------------
GRAPHENE  GRAPHENE  518.8154         1.5             T                2.4             1     ! C-C aromatic graphene/CNT (124 Kcal/mol = 518.8154 kJ/mol).
 C,6,*     C,6,*    627.5993         1.5             T                min             1     ! C-C aromatic bond (150 Kcal/mol = 627.5993 KJ/mol).
 C,5,*     C,6,*    627.5993         1.5             T                min             1     ! C-C aromatic bond (150 Kcal/mol = 627.5993 KJ/mol).
 C,5,*     C,5,*    627.5993         1.5             T                min             1     ! C-C aromatic bond (150 Kcal/mol = 627.5993 KJ/mol).
 C,0,2     C,0,2    835.0000         3               T                min             2     ! C-C triple bond.
 C,0,1     C,0,2    835.0000         3               T                min             2     ! C-C triple bond.
 C,0,2     C,0,3    602.0000         2               T                min             2     ! C-C double bond.
 C,0,3     C,0,3    602.0000         2               T                min             2     ! C-C double bond.
 C,*,4     C,*,4    346.0000         1               T                min             2     ! C-C single bond.
 C,*,3     C,*,4    346.0000         1               T                min             2     ! C-C single bond.
 C,*,2     C,*,4    346.0000         1               T                min             2     ! C-C single bond.
 C,0,3     C,6,3    346.0000         1               T                min             2     ! C-C single bond.
 C,0,2     O,0,1    1072.0000        3               T                min             2     ! C-O triple bond.
 C,0,3     O,0,1    799.0000         2               T                min             2     ! C-O double bond.
 C,5,*     O,5,*    578.5000         1.5             T                min             2     ! C-O aromatic bond. NO DATA, SO average BO 1&2 D's (799+358)/2.
 C,6,*     O,6,*    578.5000         1.5             T                min             2     ! C-O aromatic bond. NO DATA, SO average BO 1&2 D's (799+358)/2.
 C,6,*     O,*,*    358.0000         1               T                min             2     ! C-O single bond.
 C,5,*     O,*,*    358.0000         1               T                min             2     ! C-O single bond.
 C,0,2     O,0,2    358.0000         1               T                min             2     ! C-O single bond.
 C,0,3     O,0,2    358.0000         1               T                min             2     ! C-O single bond.
 C,0,4     O,0,2    358.0000         1               T                min             2     ! C-O single bond.
 C,3,*     O,3,*    358.0000         1               T                min             2     ! C-O single bond (epoxide).
 C,0,2     N,0,*    887.0000         3               T                min             2     ! C-N triple bond.
 C,0,3     N,0,*    615.0000         2               T                min             2     ! C-N double bond.
 C,5,*     N,5,*    460.0000         1.5             T                min             2     ! C-N aromatic bond. NO DATA, SO average BO 1&2 D's (615+305)/2.
 C,6,*     N,6,*    460.0000         1.5             T                min             2     ! C-N aromatic bond. NO DATA, SO average BO 1&2 D's (615+305)/2.
 C,6,*     N,5,*    305.0000         1               T                min             2     ! C-N single bond between rings.
 C,5,*     N,6,*    305.0000         1               T                min             2     ! C-N single bond between rings.
 C,5,*     N,6,*    305.0000         1               T                min             2     ! C-N single bond between rings.
 C,0,4     N,0,*    305.0000         1               T                min             2     ! C-N single bond.
 C,6,*     N,0,3    460.2400         1               T                min             1     ! Car-N amine bond (110 Kcal/mol = 460.24 KJ/mol).
 C,5,*     N,0,3    460.2400         1               T                min             1     ! Car-N amine bond (110 Kcal/mol = 460.24 KJ/mol).
 C,0,2     S,0,*    573.0000         2               T                min             2     ! C-S double bond.
 C,0,3     S,0,*    573.0000         2               T                min             2     ! C-S double bond.
 C,0,4     S,0,*    272.0000         1               T                min             2     ! C-S single bond.
 C,5,*     S,0,*    313.8000         1               T                min             1     ! Car-S single bond (75 Kcal/mol = 313.8 KJ/mol).
 C,6,*     S,0,*    313.8000         1               T                min             1     ! Car-S single bond (75 Kcal/mol = 313.8 KJ/mol).
 C,*,*     Si,*,*   318.0000         1               T                min             2     ! C-Si single bond.
 O,0,1     O,0,1    494.0000         2               T                min             2     ! O-O double bond.
 O,0,1     O,0,*    142.0000         1               T                min             2     ! O-O single bond.
 O,*,*     S,*,*    522.0000         2               T                min             2     ! O-S double bond.
 O,*,*     Si,*,*   452.0000         1               T                min             2     ! O-Si single bond.
 O,*,1     N,*,*    607.0000         2               T                min             2     ! O-N Double bond.
 O,*,2     N,*,*    201.0000         1               T                min             2     ! O-N Single bond.
 N,*,2     N,*,2    942.0000         3               T                min             2     ! N-N triple bond.
 N,*,2     N,*,3    418.0000         2               T                min             2     ! N-N double bond.
 N,*,3     N,*,3    167.0000         1               T                min             2     ! N-N single bond.
 N,*,3     N,*,4    167.0000         1               T                min             2     ! N-N single bond.
 N,*,*     Si,*,4   355.0000         1               T                min             2     ! N-Si single bond.
 S,*,2     S,*,2    425.0000         2               T                min             2     ! S-S double bond.
 S,*,2     S,*,3    425.0000         2               T                min             2     ! S-S double bond.
 S,*,3     S,*,3    226.0000         1               T                min             2     ! S-S single bond.
 S,*,3     S,*,4    226.0000         1               T                min             2     ! S-S single bond.
 S,*,*     Si,*,*   293.0000         1               T                min             2     ! S-Si single bond.
 Si,*,*    Si,*,*   222.0000         1               T                min             2     ! Si-Si single bond.
 H,*,*     H,*,*    432.0000         1               T                min             2     ! H-H single bond.
 H,*,*     C,*,*    411.0000         1               T                min             2     ! H-C single bond.
 H,*,*     O,*,*    459.0000         1               T                min             2     ! H-O single bond.
 H,*,*     N,*,*    386.0000         1               T                min             2     ! H-N single bond.
 H,*,*     S,*,*    363.0000         1               T                min             2     ! H-S single bond.
 H,*,*     Si,*,*   318.0000         1               T                min             2     ! H-Si single bond.
 F,*,*     H,*,*    565.0000         1               T                min             2     ! F-H single bond.
 F,*,*     C,*,*    485.0000         1               T                min             2     ! F-C single bond.
 F,*,*     O,*,*    190.0000         1               T                min             2     ! F-O single bond.
 F,*,*     N,*,*    283.0000         1               T                min             2     ! F-N single bond.
 F,*,*     S,*,*    284.0000         1               T                min             2     ! F-S single bond.
 F,*,*     Si,*,*   565.0000         1               T                min             2     ! F-Si single bond.
 
! References
! [1] IFF-R_tutorial PowerPoint posted 12/12/2022 by Dr. Hendrik Heinz
! [2] http://www.wiredchemist.com/chemistry/data/bond_energies_lengths.html
